Hieroglyph,"Gardiner Unicode",Description,Ideogram,Phonogram,Notes
"𓃾","F1 U+130FE","ox head","","kꜣ","Possibly ancestral to Proto-Sinaitic Aleph and its descendants"
"𓃿","F1A U+130FF","bovine head","nose ( fnḏ ) Front, foremost ( ḫnt )","","Interchangeable with D19"
"𓄀","F2 U+13100","charging ox head","Bull ( kꜣ )","",""
"𓄁","F3 U+13101","hippopotamus head","Moment ( ꜣt ) head ( dp )","",""
"𓄂","F4 U+13102","forepart of lion","Front, foremost, prow ( ḥꜣt )","",""
"𓄃","F5 U+13103","hartebeest head","wise, skilled ( šsꜣ )","",""
"𓄄","F6 U+13104","forepart of hartebeest","wise, skilled ( šsꜣ )","",""
"𓄅","F7 U+13105","ram head","Terror, awe ( šfyt )","",""
"𓄆","F8 U+13106","forepart of ram","Terror, awe ( šfyt )","",""
"𓄇","F9 U+13107","leopard head","Strength ( pḥty ) Moment ( ꜣt )","","Determinative or abbreviation for pḥty , ""strength"""
"𓄈","F10 U+13108","head and neck of animal","Throat ( ḫḫ ) know ( ꜥm ) swallow ( ꜥm )","",""
"𓄉","F11 U+13109","head and neck of animal","Throat ( ḫḫ ) know ( ꜥm ) swallow ( ꜥm )","",""
"𓄊","F12 U+1310A","head and neck of animal","Power ( wsr )",wsr,""
"𓄋","F13 U+1310B",horns,"open ( wpj )","wp, jp","in the New Year festival, wp-rnpt ‘opening the year’"
"𓄌","F13A U+1310C",horns,"",wp,""
"𓄍","F14 U+1310D","horns with palm branch","opening the year (New year festival) ( wp[t]-rnpt )","",""
"𓄎","F15 U+1310E","horns with palm branch and sun","opening the year (New year festival) ( wp[t]-rnpt )","",""
"𓄏","F16 U+1310F",horn,"horn ( ꜥb )","ꜥb",""
"𓄐","F17 U+13110","horn and vase from which water flows","purity ( ꜥbw )","",""
"𓄑","F18 U+13111",tusk,"","bḥ, ḥw, ḥ",""
"𓄒","F19 U+13112","lower jaw-bone of ox","jaw ( ꜥrt )","",""
"𓄓","F20 U+13113",tongue,"tongue ( ns )",ns,"1. Egyp. bil. ns . 2. A-tongue, and related words for speech; B-30th-(the 'Last Day of the Month'), and therefore, (next)-last"
"𓄔","F21 U+13114","ear of bovine","Ear ( msḏr ) leaf ( ḏrḏ ) hear, listen ( sḏm )",jdn,""
"𓄕","F21A U+13115","hieratic ear of bovine","Ear ( msḏr ) hear, listen ( sḏm )","",""
"𓄖","F22 U+13116","hind-quarters of lion","hindquarters, back part ( pḥt ) strength ( pḥty )","pḥ","Biliteral pḥ"
"𓄗","F23 U+13117","foreleg of ox","Foreleg ( ḫpš ) power ( ḫpš )","",""
"𓄘","F24 U+13118","F23 reversed","power ( ḫpš )","ḫpš",""
"𓄙","F25 U+13119","leg of ox","Cow’s leg ( wḥm ) Repeat ( wḥm )","wḥm",""
"𓄚","F26 U+1311A","skin of goat","Interior ( ẖn )","ẖn",""
"𓄛","F27 U+1311B","skin of cow with bent tail","Leather, hide ( dḥr )","","Determinative for animals"
"𓄜","F28 U+1311C","skin of cow with straight tail","Spotted, dappled ( sꜣb )","k (Ptolemaic)",""
"𓄝","F29 U+1311D","cow's skin pierced by arrow","Shoot, ejaculate, shine ( sṯj )","",""
"𓄞","F30 U+1311E","water- skin","Save ( šdj ) Read aloud ( šdj )","šd","1. Determinative for šdw, ""belly""; phon. for šd 2. (See: similar shaped hieroglyph: V22 whip )"
"𓄟","F31 U+1311F","three skins tied together","Create, give birth ( msj )",ms,"Bil. ms , ""born"", ""born-of""; example, Pharaoh Ahmose , ""Moon-Born"" ; Kamose , ""Spirit-Born"""
"𓄠","F31A U+13120","three skins tied together","Create, give birth ( msj )",ms,""
"𓄡","F32 U+13121","animal's belly","body ( ẖt )","ẖ",""
"𓄢","F33 U+13122",tail,"Tail ( sd )",sd,"1. Determinative for sd , ""tail""; then phon. , sd 2. (See: the Sed festival , 'Festival of the Tail')"
"𓄣","F34 U+13123",heart,"Heart ( jb ) heart ( ḥ3ty )",jb,"Ideogram or det. for ib , ""heart"" or also ḥ3ty,""heart"""
"𓄤","F35 U+13124","heart and windpipe","Good, beautiful, perfect, young ( nfr )","nf (Ptolemaic)","Egyptian triliteral sign for nfr , (beauty), or ""perfect"" Possibly ancestral to Proto-Sinaitic Teth and its descendants"
"𓄥","F36 U+13125","lung and windpipe","Unite, join ( smꜣ ) ( smꜣ )","smꜣ","Egyptian ""lung"", used for union , (as in the ""Two Lands"" , "" Upper and Lower Egypt )"
"𓄦","F37 U+13126","backbone and ribs and spinal cord","Slaughtering, massacre ( šꜥt ) Back ( jꜣt )","",""
"𓄧","F37A U+13127","backbone and ribs","Slaughtering, massacre ( šꜥt ) Back ( jꜣt )","",""
"𓄨","F38 U+13128","backbone and ribs","Back ( jꜣt )","psḏ",""
"𓄩","F38A U+13129","backbone and ribs and spinal cord","","",""
"𓄪","F39 U+1312A","backbone and spinal cord","Spinal cord ( jmꜣḫ ) Veneration, reveredness ( jmꜣḫ )","jmꜣḫ, psḏ",""
"𓄫","F40 U+1312B","backbone and spinal cords","Be long, extend ( ꜣw )","ꜣw","To be long, length, to extend Pharaoh: Extent of Happiness -(for Egypt-Land), , (on reliefs ) (i.e. the Welfare of the Nation )"
"𓄬","F41 U+1312C",vertebrae,"Slaughtering, massacre ( šꜥt )","psḏ",""
"𓄭","F42 U+1312D",rib,"rib ( spr )",spr,""
"𓄮","F43 U+1312E",ribs,"Beef ribs ( spḥt )","",""
"𓄯","F44 U+1312F","bone with meat","reward ( jsw ) Heir, inheritor, inheritance ( jwꜥ ) Thigh bone ( swt )","",""
"𓄰","F45 U+13130",uterus,"vulva, womb, cow ( jdt )","",""
"𓄱","F45A U+13131",uterus,"","m (Ptolemaic)",""
"𓄲","F46 U+13132",intestine,"Turn about ( pẖr ) Fold, turn back ( wḏb )",dbn,""
"𓄳","F46A U+13133",intestine,"Turn about ( pẖr ) Fold, turn back ( wḏb )",dbn,""
"𓄴","F47 U+13134",intestine,"Turn about ( pẖr ) Fold, turn back ( wḏb )",dbn,""
"𓄵","F47A U+13135",intestine,"Turn about ( pẖr ) Fold, turn back ( wḏb )",dbn,""
"𓄶","F48 U+13136",intestine,"Turn about ( pẖr ) Fold, turn back ( wḏb )",dbn,""
"𓄷","F49 U+13137",intestine,"Turn about ( pẖr ) Fold, turn back ( wḏb )",dbn,""
"𓄸","F50 U+13138","combination of F46 and S29","Inscribe ( spẖr )","",""
"𓄹","F51 U+13139","piece of flesh","Flesh ( jwf )","ꜣs, ws, f (Ptolemaic)",""
"𓄺","F51A U+1313A","three pieces of flesh horizontally","Flesh ( jwf )","",""
"𓄻","F51B U+1313B","three pieces of flesh vertically","Flesh ( jwf )","",""
"𓄼","F51C U+1313C","F51 reversed","","",""
"𓄽","F52 U+1313D",excrement,"Excrement ( ḥs )","",""
"𓄾","F53 U+1313E","divine rod with ram head","",mt,""
"​",G,"",Birds,"",""
"𓄿","G1 U+1313F","Egyptian vulture","","ꜣ","Uniliteral sign representing Egyptian alef"
"𓅀","G2 U+13140","two Egyptian vultures","","ꜣꜣ",""
"𓅁","G3 U+13141","combination of Egyptian vulture and sickle","","mꜣ",""
"𓅂","G4 U+13142",buzzard,tjw,tjw,"Tril. tjw , often used as a plural Nisbe ending -tjw"
"𓅃","G5 U+13143",falcon,"Horus ( ḥrw ) God ( nṯr ) (Ptolemaic) Above ( ḥry ) (Ptolemaic) lord ( nb ) (Ptolemaic)","","Horus ;  about 200 forms of Horus; for example: Horus-the-Child, Greek language -equivalent, Harpokrates ; Egyptian, ḥrw-pꜣ-ẖrd,"
"𓅄","G6 U+13144","combination of falcon and flaggellum","falcon ( bjk ) Horus ( ḥrw ) God ( nṯr ) (Ptolemaic) lord ( nb ) (Ptolemaic)","",""
"𓅅","G6A U+13145","falcon on basket","","",""
"𓅆","G7 U+13146","falcon on standard","God ( nṯr ) King ( nswt ) (Rarely)","","Determinative for god names"
"𓅇","G7A U+13147","falcon in boat","Nemty ( nmty )","",""
"𓅈","G7B U+13148","falcon in boat","Nemty ( nmty )","",""
"𓅉","G8 U+13149","falcon on collar of beads","Horus/Falcon of Gold ( ḥr-nbw/bjk-nbw )","",""
"𓅊","G9 U+1314A","falcon with sun on head","Ra-Horus ( rꜥ-ḥrw )","","Most often in the name of Ra-Horakhty (rꜥ-ḥrw-ꜣḫtj)"
"𓅋","G10 U+1314B","falcon in Sokar barque","Sokar ( skr ) Henu-bark ( ḥnw )","",""
"𓅌","G11 U+1314C","image of falcon","Sopdu ( spdw ) Image ( ꜥẖm, ꜥšm, ꜥḫm ) Falcon ( gnḥsw, šnbt )","",""
"𓅍","G11A U+1314D","image of falcon on standard","","",""
"𓅎","G12 U+1314E","combination of image of falcon and flagellum","Sopdu ( spdw ) Image ( ꜥẖm, ꜥšm, ꜥḫm ) Falcon ( gnḥsw, šnbt )","",""
"𓅏","G13 U+1314F","image of falcon with two plumes","Sopdu ( spdw ) Horus of Nekhen (Hierakonpolis) ( ḥrw-nḫnj )","",""
"𓅐","G14 U+13150",vulture,"Mother ( mwt ) vulture ( nrt )","",""
"𓅑","G15 U+13151","combination of vulture and flagellum","Mother ( mwt ) vulture ( nrt ) Mut ( mwt )","",""
"𓅒","G16 U+13152","vulture and cobra each on a basket","Two Ladies ( nbtj )","","See Two Ladies"
"𓅓","G17 U+13153",owl,"","m, jm, n (Ptolemaic)",""
"𓅔","G18 U+13154","two owls","","mm, m, nm",""
"𓅕","G19 U+13155","combination of owl and forearm with conical loaf","","m, mj",""
"𓅖","G20 U+13156","combination of owl and forearm","In the hand ( m-ꜥ )","m, mj, mꜥ, ꜥm, m-ꜥ",""
"𓅗","G20A U+13157","combination of owl and mouth","",mr,""
"𓅘","G21 U+13158",guineafowl,"","nḥ, nḥḥ","1. Egyp. bil. nḥ , for the bird; phon. for nḥ ; 2. Ideas of petition, supplicate, beseech; for Egyptian language nḥ-t , nḥḥ-t , oil, unguent, equivalent of Coptic language , ""ⲛⲉϩ""; 3. for nḥḥ , eternity, or ever and ever, (see also ḥḥ' ), Coptic ""ⲉⲛⲉϩ"""
"𓅙","G22 U+13159",hoopoe,"","ḏb",""
"𓅚","G23 U+1315A",lapwing,"The common (Rekhyt-) people, subjects ( rḫyt )","",""
"𓅛","G24 U+1315B","lapwing with twisted wings","The common (Rekhyt-) people, subjects ( rḫyt )","",""
"𓅜","G25 U+1315C","northern bald ibis","Be effective, effective (Akh) spirit ( ꜣḫ )","ꜣḫ","Bil. ꜣḫ"
"𓅝","G26 U+1315D","sacred Ibis on standard","Ibis ( hb ) Thoth ( ḏḥwtj )","","God Thoth , the god of scribes"
"𓅞","G26A U+1315E","sacred Ibis","Ibis ( hb ) Thoth ( ḏḥwtj ) Excellent, skilled ( jqr ) Discern, reckon ( jp )","",""
"𓅟","G27 U+1315F",flamingo,"flamingo ( dšr ) red ( dšr )","",""
"𓅠","G28 U+13160","glossy ibis","to find, discover ( gmj )",gm,""
"𓅡","G29 U+13161","saddle-billed stork","Ba-soul ( bꜣ )","bꜣ",""
"𓅢","G30 U+13162","three saddle-billed storks","Ba-souls; metaphorically: Power, glory, respect ( bꜣw )","",""
"𓅣","G31 U+13163",heron,"Heron/ Bennu -bird ( bnw )","","1. the heron-like Bennu 2. Determinative for bnw , the "" Phoenix -bird"""
"𓅤","G32 U+13164","heron on perch","to inundate ( bꜥḥj )","",""
"𓅥","G33 U+13165","cattle egret","to tremble ( sdꜣ/sdꜣdꜣ )","",""
"𓅦","G34 U+13166",ostrich,"ostrich ( njw )","",""
"𓅧","G35 U+13167",cormorant,"to enter ( ꜥq )","ꜥq",""
"𓅨","G36 U+13168",swallow,"swallow ( mnt ) great, elder ( wr )",wr,"bil. wr"
"𓅩","G36A U+13169","swallow (low)","swallow ( mnt ) great, elder ( wr )",wr,""
"𓅪","G37 U+1316A",sparrow,"Bad ( bjn ) Small, weak ( nḏs )","","Determinative for various words related to negativity, small, bad"
"𓅫","G37A U+1316B","sparrow (low)","Bad ( bjn ) Small, weak ( nḏs )","",""
"𓅬","G38 U+1316C","white-fronted goose","Bird ( ꜣpd ) Geb ( gb ) Destroy ( ḥtm )","",""
"𓅭","G39 U+1316D","pintail duck","Son ( sꜣ/zꜣ )","",""
"𓅮","G40 U+1316E","pintail flying","Fly ( pꜣ )","pꜣ","Ideogram and bil. for pꜣ"
"𓅯","G41 U+1316F","pintail alighting","Alight ( ḫnj )","pꜣ, qmꜣ",""
"𓅰","G42 U+13170",widgeon,"to fatten ( wšꜣ ) Food ( ḏfꜣw )","",""
"𓅱","G43 U+13171","quail chick","Field, district, region ( w )",w,"1. Unil. w 2. Either ""quail chick"" or equivalent coil (hieroglyph) , Gardiner Z7 , , used also for the plural word ending"
"𓅲","G43A U+13172","combination of quail chick and flat loaf","",tw,""
"𓅳","G44 U+13173","two quail chicks","",ww,""
"𓅴","G45 U+13174","combination of quail chick and forearm","","wꜥ, ꜥw",""
"𓅵","G45A U+13175","combination of quail chick and forearm with conical loaf","","",""
"𓅶","G46 U+13176","combination of quail chick and sickle","","mꜣw",""
"𓅷","G47 U+13177",duckling,"Fledgeling ( ṯꜣ ) Vizier ( ṯꜣty )","ṯꜣ","Bil. ṯꜣ"
"𓅸","G48 U+13178","three ducklings in nest","nest, pond, marsh ( sš )","",""
"𓅹","G49 U+13179","three ducklings in pool","nest, pond, marsh ( sš )","",""
"𓅺","G50 U+1317A","two plovers","Washerman ( rḫtj )","",""
"𓅻","G51 U+1317B","bird pecking at fish","to catch fish ( ḥꜣm/ḥjm )","",""
"𓅼","G52 U+1317C","goose picking up grain","to feed ( snm )","",""
"𓅽","G53 U+1317D","human-headed bird with bowl with smoke","Ba-soul ( bꜣ )","",Ba
"𓅾","G54 U+1317E","plucked bird","to wring (birds' necks) ( wšn ) to fear ( snḏ )","","1. Determinative for wšn , Egyptian: ""twist the neck (of a bird)"" 2. Phonetically sn(tj) , (snṯ) 3. (see Trussed-goose Palette )"
"​",H,"","Parts of birds","",""
"𓅿","H1 U+1317F","head of pintail","bird ( ꜣpd ) Wring (the neck of a bird ( wšn )","mꜣꜥ, wšm, pq (pꜣq)","1.  an abbreviation for ꜣpd , ""bird"""
"𓆀","H2 U+13180","head of crested bird","Be effective ( ꜣḫ )","mꜣꜥ, wšm, pq (pꜣq)","1. Phoneme for pq 2. Also as: H2a (head of duck (one type)) or (cloth apparel covering etc )"
"𓆁","H3 U+13181","head of spoonbill","Speak ( ḏd ) (Ptolemaic)","pꜣq, pq",""
"𓆂","H4 U+13182","head of vulture","Fear ( nr ) Person ( rmṯ )","",""
"𓆃","H5 U+13183",wing,"wing ( ḏnḥ ) fly ( pꜣ )","",""
"𓆄","H6 U+13184",feather,"feather, plumage ( šwt ) Maat ( mꜣꜥt ) Shu ( šw ) True ( mꜣꜥ )","",""
"𓆅","H6A U+13185","hieratic feather","feather, plumage ( šwt ) Maat ( mꜣꜥt ) Shu ( šw )","",""
"𓆆","H7 U+13186",claw,"Claw ( ꜥnt )","šꜣ (only in country šꜣt)",""
"𓆇","H8 U+13187",egg,"son ( sꜣ/zꜣ )","","det. for feminine in goddess names, wives, etc.; det. in swḥt , 'egg'"
"​",I,"","Amphibious animals, reptiles, etc.","",""
"𓆈","I1 U+13188",gecko,"Multitudes, countless ( ꜥšꜣ ) Lizard ( ꜥšꜣ )","",""
"𓆉","I2 U+13189",turtle,"Turtle ( št )","",""
"𓆊","I3 U+1318A",crocodile,"Crocodile ( msḥ, jt, ḥntj ) Sobek ( sbk )","jt, m",""
"𓆋","I4 U+1318B","crocodile on shrine","Sobek ( sbk )","","Ideogram of det. for sbk , ( Sobek ); (see also Crocodile)"
"𓆌","I5 U+1318C","crocodile with curved tail","pull together, be wary ( sꜣq )","",""
"𓆍","I5A U+1318D","image of crocodile","Sobek ( sbk ) image ( ꜥẖm, ꜥšm )","",""
"𓆎","I6 U+1318E","crocodile scales","black, dark ( km )",km,""
"𓆏","I7 U+1318F",frog,"Heket ( ḥqt ) Frog ( ꜥbḫn, qrr ) Frog (lit. ‘repeating life’) ( wḥm-ꜥnḫ ) 100,000 ( ḥfn ) (see I8)","","Determinative , frog; (See also (frog)-Goddess Heket , her 'emblem')"
"𓆐","I8 U+13190",tadpole,"100,000 ( ḥfn )","",""
"𓆑","I9 U+13191","horned viper","",f,"Uniliteral f , 3rd person singular masculine suffix pronoun .f, also determinative for unknown reasons in jt ‘Father’."
"𓆒","I9A U+13192","horned viper crawling out of enclosure","Come forth ( prj )","",""
"𓆓","I10 U+13193","cobra in repose","Cobra ( ḏt )","ḏ","Uniliteral ḏ"
"𓆔","I10A U+13194","cobra with feather","","",""
"𓆕","I11 U+13195","two cobras","","ḏḏ",""
"𓆖","I11A U+13196","combination of cobra, flat loaf and sandy tract","(linear/stable) eternity ( ḏt )","",""
"𓆗","I12 U+13197","cobra erect as on the forehead of the Pharaoh","Uraeus ( jꜥrt ) Lady ( nbt ) (Ptolemaic)","k (Ptolemaic)","Uraeus ; Determinative for jꜥrt ""uraeus"", determinative for all goddesses, but especially those to whom the appearance of a snake was attributed"
"𓆘","I13 U+13198","erect cobra on basket","Wadjet ( wꜣḏt ) Lady ( nbt )","","Uraeus ; Determinative for goddesses, especially Wadjet"
"𓆙","I14 U+13199",snake,"Snake ( ḥfꜣw )","r (ptolemaic), f (Ptolemaic), ḏ (Ptolemaic)",""
"𓆚","I15 U+1319A",snake,"Snake ( ḥfꜣw )","",""
"​",K,"","Fishes and parts of fishes","",""
"𓆛","K1 U+1319B",tilapia,"Nile tilapia ( jnt )",jn,"Egyptian biliteral sign jn ; det. for ""Tilapia"", jnt ; the common fish shape for reliefs & art; also for the fish cosmetic palettes"
"𓆜","K2 U+1319C",barbel,"Abomination ( bwt )","bw, s (Late period)",""
"𓆝","K3 U+1319D",mullet,"flathead mullet ( ꜥḏw )","ꜥḏ",""
"𓆞","K4 U+1319E","elephant-snout fish","Mormyrus ( ẖꜣt ) Corpse ( ẖꜣt )","ẖꜣ","1. Phonetic value ẖꜣ , from name, ideogram ẖjt 2. Bil. for ẖꜣ"
"𓆟","K5 U+1319F","Petrocephalus bane","Fish ( rm )",bs,""
"𓆠","K6 U+131A0","fish scale","fish scale ( nšmt )","",""
"𓆡","K7 U+131A1",puffer,"Nile pufferfish , angry, discontent ( špt )","",""
"𓆢","K8 U+131A2",catfish,"Catfish ( nꜥr )","",""
"​",L,"","Invertebrata and lesser animals","",""
"𓆣","L1 U+131A3","dung beetle","dung beetle/scarab, become, emerge, manifest ( ḫpr ) land ( tꜣ ) (Late period)","","See: Scarab (artifact) See: God Khepri"
"𓆤","L2 U+131A4",bee,"bee ( bjt )","bjt (only in ""king of lower Egypt"" (bjt))","In the royal title “Dual King” ( nswt-bjty )- possibly a symbol for Lower Egypt together with the sedge for Upper Egypt (see L2A)"
"𓆥","L2A U+131A5","combination of bee, sedge and two flat loafs","Dual King ( nswt-bjty )","","Title preceding the Throne name of a king. Translation contested."
"𓆦","L3 U+131A6",fly,"fly ( ꜥff )","","Depicted on necklaces awarded for military bravery"
"𓆧","L4 U+131A7",locust,"Grasshopper ( znḥm )","r (Cryptographic)",""
"𓆨","L5 U+131A8",centipede,"centipede ( spꜣ )","",""
"𓆩","L6 U+131A9",shell,"","ḫꜣ (rarely)",""
"𓆪","L6A U+131AA","L6 reversed","","",""
"𓆫","L7 U+131AB",scorpion,"Serket ( srqt )","","Mutilated for superstitious reasons"
"𓆬","L8 U+131AC","","","",""
"​",M,"","Trees and plants","",""
"𓆭","M1 U+131AD",tree,"Charm ( jmꜣ ) Sycamore ( nht ) Bright ( bꜣq ) (A tree) ( nꜥrt )","m, jmꜣ, jm",""
"𓆮","M1A U+131AE","combination of tree and branch","After, following ( m-ḫt )","",""
"𓆯","M1B U+131AF","combination of tree and horned viper","Within him/it ( jm.f ) (A kind of tree) ( nḏft ) (A kind of tree) ( ꜣtf )","",""
"𓆰","M2 U+131B0",plant,"True of Voice ( mꜣꜥ-ḫrw )","ḥn, js, j (cryptographic)","1. Determinative for various plants or flowers 2. Two phonemes for ""cane"", and ""canes"", ḥn -(from ḥnj), js -(from jsw). 3. flower (garland), plant, branch, seed 4. Rosetta Stone , line R12, The people shall wear garlands on their heads, shall be made festal..."
"𓆱","M3 U+131B1",branch,"Wood ( ḫt ) Throughout ( ḫt )","ḫt",""
"𓆲","M3A U+131B2","combination of owl and branch","After, following ( m-ḫt )","",""
"𓆳","M4 U+131B3","palm branch","Year ( rnpt ) Young ( rnp ) time ( tr )","rnp, tr",""
"𓆴","M5 U+131B4","combination of palm branch and flat loaf","Year ( rnpt ) time ( tr )",tr,""
"𓆵","M6 U+131B5","combination of palm branch and mouth","",tr,""
"𓆶","M7 U+131B6","combination of palm branch and stool","Young ( rnp )",rnp,""
"𓆷","M8 U+131B7","pool with lotus flowers","Field, Inundation season ( ꜣḫt ) Field ( šꜣ )","šꜣ","1. Ideogram & Phoneme for šꜣ , ""flooded country"" 2. Ideogram for ꜣḫt , Season of the Inundation"
"𓆸","M9 U+131B8","lotus flower","Lotus ( sšn, snšn, nḫb ) Beautiful ( nfr )","","A. Ideogram or det. in sšn , lotus flower; B. Greek language 'souson'; C. also det. for snšn , for lily, lotus"
"𓆹","M10 U+131B9","lotus bud with straight stem","Lotus bud ( nḥbt )","",""
"𓆺","M10A U+131BA","lotus bud with winding stem","","",""
"𓆻","M11 U+131BB","flower on long twisted stalk","Offer ( wdn ) Divert, revert ( wḏb )","",""
"𓆼","M12 U+131BC","one lotus plant","1,000 ( ḫꜣ )","ḫꜣ","Ideogram for ḫꜣ , a part of the lotus; phonetically used for ḫꜣ ; in Egyptian mathematics , 1,000 : (see also ksj , bow, bend, do homage, etc. , for ḫꜣ-ꜣ-b )"
"𓆽","M12A U+131BD","two lotus plants","2,000","",""
"𓆾","M12B U+131BE","three lotus plants","3,000","",""
"𓆿","M12C U+131BF","four lotus plants","4,000","",""
"𓇀","M12D U+131C0","five lotus plants","5,000","",""
"𓇁","M12E U+131C1","six lotus plants","6,000","",""
"𓇂","M12F U+131C2","seven lotus plants","7,000","",""
"𓇃","M12G U+131C3","eight lotus plants","8,000","",""
"𓇄","M12H U+131C4","nine lotus plants","9,000","",""
"𓇅","M13 U+131C5","papyrus stem","Fresh, green, raw ( wꜣḏ ) Lower Egypt ( mḥw )","","Tril. wꜣḏ"
"𓇆","M14 U+131C6","combination of papyrus and cobra","Fresh, green, raw ( wꜣḏ )","",""
"𓇇","M15 U+131C7","clump of papyrus with buds","Lower Egypt ( mḥw ) Around ( ḥꜣ )","ḥꜣ, ꜣḫ (in ꜣḫ-bjt “Chemmis”)",""
"𓇈","M15A U+131C8","combination of clump of papyrus with buds and village","Lower Egypt ( mḥw )","",""
"𓇉","M16 U+131C9","clump of papyrus","Lower Egypt ( mḥw ) Around ( ḥꜣ )","ḥꜣ, ꜣḫ (in ꜣḫ-bjt “Chemmis”)",""
"𓇊","M16A U+131CA","combination of clump of papyrus and village","Lower Egypt ( mḥw )","",""
"𓇋","M17 U+131CB",reed,"Reed ( j ) I, me, my ( .j )",j,"Alphabetic uniliteral vowel j"
"𓇌","M17A U+131CC","two reeds","","y, j",""
"𓇍","M18 U+131CD","combination of reed and legs walking","Come ( jj )","",""
"𓇎","M19 U+131CE","heaped conical cakes between reed and club","Pleasing ( ꜥꜣb ) Offerings, provisions ( ꜥꜣbt )","",""
"𓇏","M20 U+131CF","field of reeds","Field ( sḫt ) Help ( sm )",sm,""
"𓇐","M21 U+131D0","reeds with root","Help ( sm )",sm,""
"𓇑","M22 U+131D1",rush,"El Kab ( nḫb ) Nekhbet (She of El Kab) ( nḫbt )",n,"Possibly ancestral to Proto-Sinaitic Tsade and its descendants"
"𓇒","M22A U+131D2","two rushes","This, that ( nn )",nn,"proximal demonstrative ""this, that"""
"𓇓","M23 U+131D3",sedge,"Sedge ( swt ) King ( nswt ) Upper Egypt(ian) ( šmꜥw ) South, Southern ( rs, rsj, šmꜥw )",sw,"See nswt-bjt"
"𓇔","M24 U+131D4","combination of sedge and mouth","South, Southern ( rs, rsj, rsw )","","Alternate version of M25 𓇖.  South"
"𓇕","M24A U+131D5",lily,"Upper Egypt ( šmꜥw )","",""
"𓇖","M25 U+131D6","combination of flowering sedge and mouth","South, Southern ( rs, rsj, rsw )","",""
"𓇗","M26 U+131D7","flowering sedge","Make music ( šmꜥ ) South, Southern, Upper Egypt(ian) ( šmꜥw )","šmꜥ","Flowering rush; also Gardiner nos. M25, M27, M28,"
"𓇘","M27 U+131D8","combination of flowering sedge and forearm","Make music ( šmꜥ ) South, Southern, Upper Egypt(ian) ( šmꜥw )","šmꜥ",""
"𓇙","M28 U+131D9","combination of flowering sedge and hobble","Upper Egyptian 10’s ( mḏw-šmꜥw )","",""
"𓇚","M28A U+131DA","three lilies on village","Upper Egypt ( šmꜥw )","",""
"𓇛","M29 U+131DB","Carob seed-pod","Carob ( nḏm ) Sweet ( nḏm )","nḏm",""
"𓇜","M30 U+131DC",root,"Date ( bnr ) Sweet ( bnr )","","Ideogram or det. for bnr , sweet, date; for Egyptian language bnrjt , sweetness, a favor, anything sweet, pleasant or nice; for bnryty , the 'confectioner'"
"𓇝","M31 U+131DD",rhizome,"Prosper ( rwḏ )","rwḏ",""
"𓇞","M31A U+131DE","tree in vase","","",""
"𓇟","M32 U+131DF",rhizome,"Prosper ( rwḏ )","rwḏ",""
"𓇠","M33 U+131E0","3 grains horizontally","Barley ( jt )","",""
"𓇡","M33A U+131E1","3 grains vertically","Barley ( jt )","",""
"𓇢","M33B U+131E2","3 grains in triangular arrangement","Barley ( jt )","",""
"𓇣","M34 U+131E3","ear of emmer","Emmer ( bdt )","",""
"𓇤","M35 U+131E4","stack (of grain)","Pile, stack ( ꜥḥꜥ, ꜥḥꜥw )","",""
"𓇥","M36 U+131E5","bundle of flax","End, limit ( ḏr )","ḏr",""
"𓇦","M37 U+131E6","bundle of flax","End, limit ( ḏr )","ḏr",""
"𓇧","M38 U+131E7","wide bundle of flax","Bind together ( dmꜣ )","",""
"𓇨","M39 U+131E8","basket of fruit or grain","End, limit ( ḏr ) Bind together ( dmꜣ )","ḏr",""
"𓇩","M40 U+131E9","bundle of reeds","Gang (of workmen ( js )",js,""
"𓇪","M40A U+131EA","bundle of reeds","",js,""
"𓇫","M41 U+131EB","piece of wood","Juniper ( wꜥn ) Cedar ( ꜥš )","",""
"𓇬","M42 U+131EC",flower,"Eat ( wnm ) Be, exist ( wn )",wn,""
"𓇭","M43 U+131ED","vine on trellis","Wine ( jrp ) Vintner, Gardener ( kꜣny )","",""
"𓇮","M44 U+131EE",thorn,"Sharp ( spd ) Thorn ( srt )","",""
"​",N,"","Sky, earth, water","",""
"𓇯","N1 U+131EF",sky,"Sky, heaven ( pt ) Above ( ḥry )","",""
"𓇰","N2 U+131F0","sky with sceptre","Darkness ( kkw ) Night ( grḥ )","",""
"𓇱","N3 U+131F1","sky with sceptre","Darkness ( kkw ) Night ( grḥ )","",""
"𓇲","N4 U+131F2","sky with rain","Dew ( ỉꜣdt ) Storm ( šnyt )","",""
"𓇳","N5 U+131F3",sun,"Ra , the sun ( rꜥ ) Day ( hrw )","",""
"𓇴","N6 U+131F4","sun with uraeus","Ra , the sun ( rꜥ ) Day ( hrw )","",""
"𓇵","N7 U+131F5","combination of sun and butcher's block","Every day ( ẖrt-hrw )","",""
"𓇶","N8 U+131F6",sunshine,"Shine ( psḏ ) Rise ( wbn ) Illuminate ( sḥḏ ) Sunfolk (of Heliopolis) ( ḥnmmt )","",""
"𓇷","N9 U+131F7","moon with lower half obscured","Primeval time ( pꜣwt ) Ennead ( psḏt ) New moon festival ( psḏntyw )","psḏ",""
